IP Address,Timestamp,Packet Loss,Min RTT,Ave RTT,Max RTT,Bandwidth, Packet Delay Variation
192.168.0.1,51:42.0,0,1.997232437,7.074360847,85.03699303,0.009046754,-0.000741873
192.168.0.2,55:52.7,0,1.619577408,4.034085274,69.06676292,0.015864811,-0.001629772
192.168.0.1,56:41.8,0,2.098321915,7.315363884,110.3432178,0.00874871,-0.005373688
192.168.0.2,00:53.5,0,1.721143723,3.178019524,22.2196579,0.020138328,0.000535393
192.168.0.1,01:42.6,0,2.172708511,3.970870972,46.70119286,0.016117371,0.004203053
192.168.0.2,05:53.3,0,1.715898514,2.759580612,15.31291008,0.02319193,0.002096395
192.168.0.1,06:42.5,0,1.946687698,26.86151028,1093.965292,0.002382591,-0.033827276
192.168.0.2,10:52.7,0,1.552581787,2.557301521,13.27800751,0.02502638,0.002300911
192.168.0.1,11:41.8,0,2.055168152,6.996011734,91.00723267,0.009148069,-0.005257835
192.168.0.2,15:52.7,0,1.502752304,4.691977501,110.8057499,0.013640304,-0.002327013
192.168.0.1,16:41.7,0,1.682043076,5.427575111,86.4276886,0.011791638,-0.003065748
192.168.0.2,20:53.5,0,1.711606979,2.758574486,14.9037838,0.023200389,0.001067514
192.168.0.1,21:42.6,0,2.104759216,5.833158493,108.4721088,0.010971757,-0.000175076
192.168.0.2,25:53.4,0,1.420974731,2.876124382,41.17274284,0.022252167,0.003387547
192.168.0.1,26:42.5,0,1.87921524,5.117487907,88.48047256,0.012506136,0.006867018
192.168.0.2,30:53.5,0,1.64937973,2.357048988,12.35699654,0.027152596,0.002096357
192.168.0.1,31:42.6,0,2.135038376,5.089554787,96.61626816,0.012574774,-0.000537767
192.168.0.2,35:53.3,0,1.249313354,2.125916481,4.753112793,0.030104663,0.001641226
192.168.0.1,36:43.4,0,2.13265419,44.41011429,2035.672903,0.001441113,-0.039557972
192.168.0.2,40:52.6,0,1.728534698,2.574305534,8.508205414,0.024861074,0.001835442
