IP Address,Timestamp,Packet Loss,Min RTT,Ave RTT,Max RTT,Bandwidth,Packet Delay Variation
192.168.0.2,2017-02-16 00:00:53.604794,0.0,1.5187263488769531,3.5955429077148438,23.414134979248047,0.017799815394408783,0.003126964569091797
192.168.0.1,2017-02-16 00:01:42.696314,0.0,2.092123031616211,6.229114532470703,115.85068702697754,0.010274333481329516,-0.004933757781982422
192.168.0.3,2017-02-16 00:02:31.780935,0.0,2.691507339477539,29.602270126342773,153.91039848327637,0.0021619963511868307,0.0012690925598144531
192.168.0.2,2017-02-16 00:05:53.584051,0.0,1.7168521881103516,2.311267852783203,5.649089813232422,0.027690429702006157,0.0016698360443115235
192.168.0.1,2017-02-16 00:06:42.675095,0.0,2.1314620971679688,5.725116729736328,91.57848358154297,0.011178811371230774,0.004048099517822265
192.168.0.3,2017-02-16 00:07:31.803196,0.0,21.679162979125977,93.91528129577637,144.15550231933594,0.0006814652431103165,-0.0009350776672363281
192.168.0.2,2017-02-16 00:10:52.983992,0.0,1.4195442199707031,2.082958221435547,3.2706260681152344,0.03072553224610144,0.0016383647918701172
192.168.0.4,2017-02-16 00:10:55.992558,100.0,999999999,0.0,0,0.0,0.0
192.168.0.1,2017-02-16 00:11:42.072279,0.0,2.1202564239501953,6.309909820556641,112.274169921875,0.010142775700454324,-0.0023534679412841797
192.168.0.3,2017-02-16 00:13:46.180373,0.0,3.2622814178466797,153.0278205871582,3003.3907890319824,0.00041822460618230067,0.11888404846191407
192.168.0.2,2017-02-16 00:15:52.881670,0.0,1.2505054473876953,2.0799827575683594,4.389762878417969,0.030769485836902002,0.001780681610107422
192.168.0.1,2017-02-16 00:16:41.965198,0.0,2.0966529846191406,5.365900993347168,65.05703926086426,0.011927167511914484,-0.001380615234375
192.168.0.3,2017-02-16 00:20:12.132787,0.0,2.798795700073242,151.34121894836426,3003.392219543457,0.0004228854534456737,0.10994372367858887
192.168.0.2,2017-02-16 00:20:52.972007,0.0,1.7485618591308594,2.2108078002929688,5.791902542114258,0.028948694676904495,0.0018165111541748047
192.168.0.1,2017-02-16 00:21:42.064869,0.0,2.2454261779785156,6.7151594161987305,93.91140937805176,0.00953067470678584,0.0028036880493164064
192.168.0.3,2017-02-16 00:22:31.294785,0.0,39.752960205078125,95.53812503814697,154.66046333312988,0.0006698896380313696,5.4845809936523436e-05
192.168.0.2,2017-02-16 00:25:53.005284,0.0,1.6334056854248047,2.4056482315063477,12.470483779907227,0.02660405588888823,0.0018248844146728515
192.168.0.1,2017-02-16 00:26:42.096187,0.0,2.128124237060547,7.568979263305664,128.0958652496338,0.008455565509377382,-0.006418704986572266
192.168.0.2,2017-02-16 00:30:53.016148,0.0,1.6255378723144531,2.2327709197998047,7.893562316894531,0.028663934769330653,0.0015914535522460937
192.168.0.1,2017-02-16 00:31:42.106824,0.0,1.8360614776611328,7.321805953979492,118.15190315246582,0.008741012859705086,-0.0048656463623046875
